typeID,title,type,url,image
CSRA9931996,Cloud Systems Software,course,https://www.coursera.org/learn/cloud-sys-software,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~cloud-sys-software/XDP~COURSE!~cloud-sys-software.jpeg
CSRA2488745,"Programming Foundations with JavaScript, HTML and CSS",course,https://www.coursera.org/learn/duke-programming-web,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~duke-programming-web/XDP~COURSE!~duke-programming-web.jpeg
CSRA9636517,Programming for Everybody (Getting Started with Python),course,https://www.coursera.org/learn/python,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~python/XDP~COURSE!~python.jpeg
CSRA3554351,Meta Back-End Developer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/meta-back-end-developer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~meta-back-end-developer/XDP~SPECIALIZATION!~meta-back-end-developer.jpeg
CSRA4728778,Excel to MySQL: Analytic Techniques for Business Specialization,specializations,https://www.coursera.org/specializations/excel-mysql,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~excel-mysql/XDP~SPECIALIZATION!~excel-mysql.jpeg
CSRA3252954,Excel Skills for Business: Essentials,course,https://www.coursera.org/learn/excel-essentials,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-essentials/XDP~COURSE!~excel-essentials.jpeg
CSRA2528441,Share Data Through the Art of Visualization,course,https://www.coursera.org/learn/visualize-data,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~visualize-data/XDP~COURSE!~visualize-data.jpeg
CSRA3646784,What is Corruption: Anti-Corruption and Compliance,course,https://www.coursera.org/learn/what-is-corruption-anti-corruption-compliance,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~what-is-corruption-anti-corruption-compliance/XDP~COURSE!~what-is-corruption-anti-corruption-compliance.jpeg
CSRA3921217,Effective Compliance Programs,course,https://www.coursera.org/learn/effective-compliance-programs,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~effective-compliance-programs/XDP~COURSE!~effective-compliance-programs.jpeg
CSRA5642597,Excel Skills for Business: Intermediate I,course,https://www.coursera.org/learn/excel-intermediate-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-intermediate-1/XDP~COURSE!~excel-intermediate-1.jpeg
CSRA4526573,Proje Yönetiminin Temelleri,course,https://www.coursera.org/learn/proje-yonetiminin-temelleri,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~proje-yonetiminin-temelleri/XDP~COURSE!~proje-yonetiminin-temelleri.jpeg
CSRA4263315,Agile Meets Design Thinking,course,https://www.coursera.org/learn/uva-darden-getting-started-agile,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-getting-started-agile/XDP~COURSE!~uva-darden-getting-started-agile.jpeg
CSRA1671948,How to Manage a Remote Team,course,https://www.coursera.org/learn/remote-team-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~remote-team-management/XDP~COURSE!~remote-team-management.jpeg
CSRA7785852,Budgeting and Scheduling Projects,course,https://www.coursera.org/learn/schedule-projects,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~schedule-projects/XDP~COURSE!~schedule-projects.jpeg
CSRA4677376,Project Initiation: Starting a Successful Project,course,https://www.coursera.org/learn/project-initiation-google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~project-initiation-google/XDP~COURSE!~project-initiation-google.jpeg
CSRA8864524,Career Success Specialization,specializations,https://www.coursera.org/specializations/career-success,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~career-success/XDP~SPECIALIZATION!~career-success.jpeg
CSRA4387214,Successful Negotiation: Essential Strategies and Skills,course,https://www.coursera.org/learn/negotiation-skills,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~negotiation-skills/XDP~COURSE!~negotiation-skills.jpeg
CSRA1631494,Improve Your English Communication Skills Specialization,specializations,https://www.coursera.org/specializations/improve-english,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~improve-english/XDP~SPECIALIZATION!~improve-english.jpeg
CSRA7217935,English for Career Development,course,https://www.coursera.org/learn/careerdevelopment,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~careerdevelopment/XDP~COURSE!~careerdevelopment.jpeg
CSRA6421842,Cybersecurity: Developing a Program for Your Business Specialization,specializations,https://www.coursera.org/specializations/cybersecurity-developing-program-for-business,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cybersecurity-developing-program-for-business/XDP~SPECIALIZATION!~cybersecurity-developing-program-for-business.jpeg
CSRA5372535,Information​ ​Systems Specialization,specializations,https://www.coursera.org/specializations/information-systems,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~information-systems/XDP~SPECIALIZATION!~information-systems.jpeg
