typeID,name,type,url,image
CSRA2412264,Site Reliability Engineering: Measuring and Managing Reliability,course,https://www.coursera.org/learn/site-reliability-engineering-slos,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~site-reliability-engineering-slos/XDP~COURSE!~site-reliability-engineering-slos.jpeg
CSRA7319938,Continuous Delivery & DevOps,course,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-continous-delivery-devops/XDP~COURSE!~uva-darden-continous-delivery-devops.jpeg
CSRA7964616,Introduction to Hardware and Operating Systems,course,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-hardware-and-operating-systems/XDP~COURSE!~introduction-to-hardware-and-operating-systems.jpeg
CSRA1525345,IT Support Google Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/sertifikat-it-support-profesional-google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google.jpeg
CSRA2633524,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya,course,https://www.coursera.org/learn/sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya.jpeg
CSRA6718529,Dasar-Dasar Dukungan Teknis,course,https://www.coursera.org/learn/dasar-dasar-dukungan-teknis,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~dasar-dasar-dukungan-teknis/XDP~COURSE!~dasar-dasar-dukungan-teknis.jpeg
CSRA8987264,Fundamentos do Suporte Técnico,course,https://www.coursera.org/learn/fundamentos-do-suporte-tecnico,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentos-do-suporte-tecnico/XDP~COURSE!~fundamentos-do-suporte-tecnico.jpeg
CSRA6348414,Palo Alto Networks Cybersecurity Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals.jpeg
CSRA7855684,Oracle Cloud Infrastructure Foundations,course,https://www.coursera.org/learn/oraclecloud-infrastructure-foundations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~oraclecloud-infrastructure-foundations/XDP~COURSE!~oraclecloud-infrastructure-foundations.jpeg
CSRA9398799,Juniper Networks Junos Platform Automation and DevOps Specialization,specializations,https://www.coursera.org/specializations/ijaut,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ijaut/XDP~SPECIALIZATION!~ijaut.jpeg
CSRA7281571,IBM Technical Support  Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/ibm-technical-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ibm-technical-support/XDP~SPECIALIZATION!~ibm-technical-support.jpeg
CSRA8538866,Technical Support Fundamentals,course,https://www.coursera.org/learn/technical-support-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg
CSRA4118828,Google IT Automation with Python Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-automation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg
